,Upregulated,Downregulated
795,Tnfrsf11a,Rplp0
796,Top3a,Arf2
797,Tpp2,Arf3
798,Tpst2,Arf4
799,Tnfsf10,Arf5
800,Ttf1,Arf6
801,Tgoln1,Rhoc
802,Tgoln2,Arnt2
803,Tuba4a,Atp5a1
804,Ubr1,Atp5k
805,Kdm6a,Atp6v1b2
806,Was,Atpif1
807,Rnf103,Slc7a1
808,Zfand5,Bad
809,Zbtb7b,Bak1
810,Abcb7,Bax
811,Abcg1,Bcl6b
812,Adam17,Phb2
813,Adamts1,Bckdha
814,Adcy9,Bcl2l2
815,Adora3,Bgn
816,Parp2,Bpgm
817,Agtrap,Bsn
818,Alox5ap,C1qbp
819,Amd1,Ddr1
820,Ampd3,Anxa2
821,Bin1,Calm3
822,Ankfy1,Calu
823,Aox1,Caml
824,Ap1g1,Casp2
825,Ap3b1,Casp7
826,Xiap,Cav1
827,Arhgap5,Cbr1
828,Arsb,Cbx1
829,Atp1b1,Cct2
830,Atp10a,Cct5
831,B2m,Cct7
832,Bcl6,Cd1d1
833,C1qb,Cdc25a
834,C3ar1,Cdk1
835,Cask,Cdh2
836,Casp1,Cdkn1a
837,Casp8,Cenpb
838,Cast,Cetn3
839,Rb1cc1,Cfl1
840,Ccng1,Cfl2
841,Cd14,Cirbp
842,Cd2ap,Cxcr7
843,Entpd1,Cnn2
844,Cd68,Col5a2
845,Cd80,Col1a2
846,Cd83,Cox5a
847,Cebpb,Cox6a1
848,Cebpg,Crcp
849,Cfh,Cry1
850,Tpp1,Csrp1
851,Ccr2,Csrp2
852,Ccr5,Cstb
853,Cnr2,Ctsb
854,Cops2,Dck
855,Cpt2,Gadd45a
856,Creb1,Ddost
857,Cst3,Dhcr7
858,Ctsc,Dffb
859,Ctsd,Dll1
860,Cx3cr1,Dmd
861,Dbt,Dpagt1
862,Ddx3x,Drg1
863,Dnase2a,Atn1
864,Dok1,Dvl2
865,E2f3,Dvl3
866,S1pr4,E2f5
867,Edn1,Mapre1
868,Egr2,Ednrb
869,Eif2ak3,Phc1
870,Emr1,Eef2
871,Epha2,Ddx19a
872,Samd9l,Eif4e
873,Eya4,Eif4ebp1
874,Fcer1g,Elk1
875,Fcgr1,Eln
876,Fcgr3,Aimp1
877,Fes,Emd
878,Il4i1,Enc1
879,Fkbp5,Epha4
880,Fkbp7,Ercc1
881,Fos,Ercc2
882,Gbp2,Erh
883,Gem,Ewsr1
884,Ggps1,Ezh2
885,Ggta1,F8a
886,Tsc22d3,Faf1
887,Gclc,Fasn
888,Gm2a,Fbn1
889,Gna15,Fen1
890,H2-Aa,Ppm1g
891,H2-D1,Smc2
892,H2-Eb1,Fkbp1a
893,H2-DMa,Foxm1
894,H2-DMb1,Flot1
895,H2-Ob,Fstl1
896,H2-T23,Ganab
897,Herc2,G6pdx
898,Hexb,Slc37a4
899,Hfe,Galc
