,Upregulated,Downregulated
3107,,Hip1
3108,,Lss
3109,,Tcp11l2
3110,,Chd3
3111,,Ankmy2
3112,,Ahsa1
3113,,B4galt7
3114,,Fermt2
3115,,2610301G19Rik
3116,,Tfb1m
3117,,Lemd2
3118,,Csnk1a1
3119,,Haus1
3120,,Ubxn1
3121,,Cbwd1
3122,,Aph1a
3123,,Lyplal1
3124,,Actr1b
3125,,Tubb4b
3126,,Fam129b
3127,,Dennd1a
3128,,Sord
3129,,Dlgap4
3130,,Pcif1
3131,,Ipo13
3132,,Ppp1r8
3133,,Vopp1
3134,,Paip2b
3135,,Ncapd2
3136,,Zfp282
3137,,Klc3
3138,,Wdr62
3139,,Eif3c
3140,,Zfp553
3141,,Glt25d1
3142,,Ftsjd1
3143,,Dync1li1
3144,,Mmgt1
3145,,Cdk17
3146,,Cchcr1
3147,,Tbc1d13
3148,,Tagap1
3149,,Homer1
3150,,Nrbp1
3151,,Vwa1
3152,,Commd3
3153,,Gtf3c5
3154,,Slc1a3
3155,,Stx3
3156,,Tor2a
3157,,Plk2
3158,,Csnk1g3
3159,,Ttc27
3160,,Rbm17
3161,,Kdm5b
3162,,Egfl8
3163,,Sf3b4
3164,,Nomo1
3165,,Mapre2
3166,,Ndufs2
3167,,Ddx27
3168,,Ehbp1
3169,,Dnajc27
3170,,Thtpa
3171,,Ctdsp1
3172,,9530068E07Rik
3173,,Nat10
3174,,Klhl12
3175,,Irgq
3176,,Slc35e4
3177,,Acat3
3178,,2410015M20Rik
3179,,Zcchc17
3180,,Wdr19
3181,,Eif2c1
3182,,Rbm45
3183,,Pomt2
3184,,Aaas
3185,,Grwd1
3186,,Rtn1
3187,,Ammecr1l
3188,,Bcl2l13
3189,,Lrrc41
3190,,Insig1
3191,,Dnajb13
3192,,Phldb1
3193,,C85492
3194,,Lrrc20
3195,,E430025E21Rik
3196,,Dirc2
3197,,BC029214
3198,,Qsox2
3199,,Fam40a
3200,,Yrdc
3201,,Noc4l
3202,,Katnal1
3203,,Ino80e
3204,,Gpm6a
3205,,Cnot10
3206,,Nars2
3207,,Rnf26
3208,,Ipo9
3209,,Ctu2
3210,,Pygb
3211,,Flywch1
3212,,Peo1
3213,,Edc3
3214,,Mettl11a
3215,,Rps15a
3216,,Fam134a
3217,,Spata2
3218,,U2af1l4
3219,,Elof1
3220,,Rpl32
3221,,Pddc1
3222,,Entpd6
3223,,Crocc
3224,,Kdm4b
3225,,B9d2
3226,,Ift52
3227,,Hinfp
3228,,Sidt2
3229,,Eif2b5
3230,,Snx8
3231,,Mark4
3232,,Rnf40
3233,,Fuk
3234,,Nup133
3235,,Slc36a4
3236,,Foxred1
3237,,Ube2z
3238,,Tarsl2
3239,,Slc16a13
3240,,Cdc42se1
3241,,9130011J15Rik
3242,,Dnajc8
3243,,Nup93
3244,,Gpc2
3245,,Ccdc134
3246,,Thoc5
3247,,Shroom2
3248,,Tbc1d16
3249,,Bzrap1
3250,,Sned1
3251,,Zc3hav1l
3252,,Dennd2a
3253,,Slc38a5
3254,,Ncoa7
3255,,Dcaf15
3256,,Zswim4
3257,,A730008H23Rik
3258,,Abhd10
3259,,Slc18a2
3260,,Gnptg
3261,,Aldh5a1
3262,,Zfp609
3263,,Vezt
3264,,Tmem120a
3265,,Cnksr3
3266,,Cntrob
3267,,Tada2a
3268,,Fbf1
3269,,Coq6
3270,,Serinc5
3271,,Txndc16
3272,,Wdhd1
3273,,Rab2b
3274,,Tomm22
3275,,Rnd1
3276,,Tmem44
3277,,C330027C09Rik
3278,,Zfp523
3279,,Adamts10
3280,,Vps52
3281,,Kctd3
3282,,Stradb
3283,,D2Wsu81e
3284,,Gtdc1
3285,,Lrp4
3286,,Frmd5
3287,,Acad9
3288,,D930015E06Rik
3289,,B230312A22Rik
3290,,Gba2
3291,,Prpf38a
3292,,Oscp1
3293,,Dnajc11
3294,,Phf13
3295,,Ppp1cb
3296,,Pcgf3
3297,,Chfr
3298,,Fbxw8
3299,,Adap1
3300,,E130309D02Rik
3301,,Dera
3302,,Zc3hc1
3303,,Zfp954
3304,,Grlf1
3305,,Hirip3
3306,,Kctd13
3307,,Fbxl19
3308,,Sugp2
3309,,Heatr3
3310,,Sc5d
3311,,Atrip
3312,,Plxnb1
3313,,Slc9a6
3314,,Ankrd52
3315,,Lrp12
3316,,Frem2
3317,,2900026A02Rik
3318,,Amdhd2
3319,,Cops7b
3320,,Idh2
3321,,Vat1l
3322,,Limk2
3323,,Pmpca
3324,,Fam164a
3325,,Rbmx2
3326,,Nhsl1
3327,,Rgs12
3328,,Nav1
3329,,Fbxo45
3330,,2310044G17Rik
3331,,8430410A17Rik
3332,,Maoa
3333,,Wdr24
3334,,Rnasek
3335,,2610019F03Rik
3336,,Nudcd3
3337,,Ilvbl
3338,,1110067D22Rik
3339,,Ube2o
3340,,Mrps27
3341,,Ubtd2
3342,,Npr2
3343,,Gpt2
3344,,Rcc2
3345,,Atg4b
3346,,Eny2
3347,,Atp5g3
3348,,Samd4b
3349,,Stk36
3350,,Commd2
3351,,Fam53c
3352,,Tmem177
3353,,2310022A10Rik
3354,,Rps19bp1
3355,,Rae1
3356,,Trak1
3357,,1110051M20Rik
3358,,Lrrc28
3359,,1110038D17Rik
3360,,Ankrd46
3361,,Rnf122
3362,,Vars2
3363,,2310022B05Rik
3364,,Galk2
3365,,Sash1
3366,,Pogk
3367,,Klhl5
3368,,Hsdl1
3369,,Swi5
3370,,3110056O03Rik
3371,,Hspa12a
3372,,Ralgps1
3373,,Hectd3
3374,,Mzt1
3375,,Myh10
3376,,Epm2aip1
3377,,Ttyh3
3378,,Anapc2
3379,,Nt5dc3
3380,,Unc119b
3381,,Obfc1
3382,,Lyrm2
3383,,Mex3b
3384,,Rdh13
3385,,2700081O15Rik
3386,,6530418L21Rik
3387,,Exosc4
3388,,Sephs1
3389,,Fbxw17
3390,,Rbm15b
3391,,Tspan9
3392,,Aldh4a1
3393,,Wdr18
3394,,Ckap4
3395,,Sestd1
3396,,Fras1
3397,,Coro2b
3398,,Ccdc38
3399,,Txnl4b
3400,,4930471M23Rik
3401,,Fchsd1
3402,,Zfp608
3403,,Ccdc88a
3404,,Ints5
3405,,Fam100b
3406,,Wdr59
3407,,Brwd1
3408,,Hif1an
3409,,Fbxl7
3410,,Usp37
3411,,Topbp1
3412,,9630033F20Rik
3413,,Dock6
3414,,Flad1
3415,,Iqcb1
3416,,D230037D09Rik
3417,,Cenpt
3418,,Ocrl
3419,,Casc1
3420,,Tmem154
3421,,Zhx3
3422,,Hnrnpl
3423,,Zfp653
3424,,Tsr1
3425,,Mapkap1
3426,,Vash1
3427,,Sh3pxd2b
3428,,Dna2
3429,,Rab5b
3430,,Tmcc1
3431,,Micall1
3432,,D19Bwg1357e
3433,,Thnsl1
3434,,Ulk4
3435,,Mtmr9
3436,,Cdc34
3437,,Ldoc1l
3438,,Fam43a
3439,,D030056L22Rik
3440,,Isg20l2
3441,,Zfp637
3442,,H2afj
3443,,Bloc1s3
3444,,Lsm14b
3445,,Impad1
3446,,Lrrc61
3447,,Eme1
3448,,Klhl23
3449,,Zfp385c
3450,,Lcmt2
3451,,Tmem67
3452,,Vps37b
3453,,C030046I01Rik
3454,,Vps26b
3455,,Mterfd2
3456,,Thra
3457,,1110012D08Rik
3458,,Agap1
3459,,Pik3ip1
3460,,Hist2h2be
3461,,Hist3h2a
3462,,Smg5
3463,,Zfp827
3464,,Cdc23
3465,,Klf11
3466,,Rraga
3467,,Commd10
3468,,Cox10
3469,,Dhx38
3470,,Wipi2
3471,,Zfp334
3472,,Cpsf4
3473,,Tagln2
3474,,Mrpl50
3475,,Nop16
3476,,Samm50
3477,,Psmd11
3478,,1810026J23Rik
3479,,Cdc42se2
3480,,Poldip3
3481,,Atl1
3482,,Ints7
3483,,Kat5
3484,,Inpp5f
3485,,Oaf
3486,,Blmh
3487,,Ubxn8
3488,,Sccpdh
3489,,Ank2
3490,,Pde12
3491,,Mapk1ip1l
3492,,C130074G19Rik
3493,,Zer1
3494,,Dpy19l3
3495,,Pcid2
3496,,Smcr7l
3497,,Klhl8
3498,,Slc26a11
3499,,Ss18l1
3500,,Irf2bp1
3501,,Fam113a
3502,,Slc7a6
3503,,B3gnt9-ps
3504,,Wdr92
3505,,Lmf2
3506,,Hic2
3507,,Pdrg1
3508,,Atad3a
3509,,Trappc9
3510,,Gars
3511,,Foxn2
3512,,Lphn1
3513,,Slc25a15
3514,,Gtf2h5
3515,,Rftn1
3516,,Wdr47
3517,,Parp11
3518,,Vps37c
3519,,Gtf2h3
3520,,Atrnl1
3521,,Gm15800
3522,,Supv3l1
3523,,Caprin2
3524,,Pik3r3
3525,,Ckap2l
3526,,Shq1
3527,,Edc4
3528,,Prdm4
3529,,Aida
3530,,4930534B04Rik
3531,,Hcfc1r1
3532,,Spred3
3533,,Prkab2
3534,,Ttll12
3535,,Raver2
3536,,Igf2bp2
3537,,1110021L09Rik
3538,,Tet3
3539,,BC003965
3540,,E030010A14Rik
3541,,Mpv17l2
3542,,Tspan18
3543,,Fat4
3544,,Stk35
3545,,Pbx1
3546,,Gadd45gip1
3547,,Sgsm2
3548,,Prosapip1
3549,,Cox19
3550,,Trim37
3551,,1700025G04Rik
3552,,2310044H10Rik
3553,,Tut1
3554,,Arl16
3555,,4930422G04Rik
3556,,6330578E17Rik
3557,,Cep78
3558,,Iqcc
3559,,Alkbh6
3560,,Tubgcp3
3561,,Cachd1
3562,,Tmem63b
3563,,Ppp2r5b
3564,,Gmeb2
3565,,Yars2
3566,,Nup188
3567,,Nsfl1c
3568,,Aars2
3569,,Rsl24d1
3570,,Ap2s1
3571,,Mex3d
3572,,Mtss1l
3573,,Tbc1d22b
3574,,Hjurp
3575,,Gse1
3576,,Nlgn2
3577,,Hn1l
3578,,Bend3
3579,,Tsen2
3580,,Lrrc68
3581,,Bckdhb
3582,,Rbfa
3583,,Hdac10
3584,,Sema6d
3585,,Mtg1
3586,,Tmem39b
3587,,Wdtc1
3588,,Clec4a1
3589,,Dot1l
3590,,Rrp12
3591,,Zhx2
3592,,Col8a2
3593,,Lrrc47
3594,,Tssc1
3595,,Lyrm4
3596,,Tmem106c
3597,,BC055324
3598,,Pigs
3599,,Ugt1a6b
3600,,Ugt1a10
3601,,Ugt1a7c
3602,,Ugt1a5
3603,,Ugt1a9
3604,,Rwdd4a
3605,,Jtb
3606,,Wtip
3607,,Hdac4
3608,,Ptpdc1
3609,,Gtf3c1
3610,,Zfp532
3611,,Plcxd1
3612,,Wrb
3613,,Opa3
3614,,Gabpb1
3615,,Kif1b
3616,,Psmf1
3617,,Cnot6
3618,,Gas5
3619,,Peg13
3620,,Gm5643
3621,,Gm10052
3622,,Snhg1
3623,,Gm15772
3624,,Gm7367
3625,,4933431E20Rik
3626,,9430008C03Rik
3627,,9530082P21Rik
3628,,1500004A13Rik
3629,,4932415G12Rik
3630,,BC029722
3631,,1700012B15Rik
3632,,2610035D17Rik
3633,,2210015D19Rik
3634,,C030044B11Rik
3635,,Snhg6
3636,,Prmt6
3637,,5930416I19Rik
3638,,Gm9786
3639,,Deaf1
3640,,A030009H04Rik
3641,,1810058I24Rik
3642,,0610012G03Rik
3643,,1110038B12Rik
3644,,Wdr73
3645,,2810025M15Rik
3646,,Gm12191
3647,,2210013O21Rik
3648,,Prr3
3649,,2010320M18Rik
3650,,E130317F20Rik
3651,,Snhg12
3652,,Mir546
3653,,Mir703
3654,,1110002L01Rik
3655,,2210403K04Rik
3656,,Ankrd10
3657,,Atf5
3658,,Bmp1
3659,,Gm12669
3660,,Zfp414
3661,,Srsf3
3662,,Alg13
3663,,Atp6v0c-ps2
3664,,1600020E01Rik
3665,,E130307A14Rik
3666,,Raver1-fdx1l
3667,,Mir5114
3668,,Mir5121
3669,,6430706D22Rik
3670,,Mipep
3671,,Snhg5
3672,,2810013P06Rik
