,Genes,direction,valence
1642,,DOWN,-0.4307938605346427
1643,,DOWN,-0.5069001195398162
1644,,UP,0.7559574186433572
1645,,DOWN,-0.6939115287634876
1646,,DOWN,-0.8058232519506748
1647,,DOWN,-0.8299012710960338
1648,,DOWN,-0.3267604480539697
1649,,DOWN,-0.9042857076587075
1650,,DOWN,-0.6407330038143079
1651,,DOWN,-0.6779418312734194
1652,,DOWN,-1.1504338572799404
1653,,DOWN,-0.9983330660915577
1654,,DOWN,-0.7439674725091491
1655,,UP,0.5690471469642773
1656,,UP,0.663210499680513
1657,,UP,0.7052987464376359
1658,,UP,0.7380301263308396
1659,,DOWN,-0.6924134853670989
1660,,DOWN,-0.5512810560250887
1661,,DOWN,-0.5358275344323915
1662,,DOWN,-1.266211013153785
1663,,DOWN,-1.3212897176106555
1664,,DOWN,-1.3009222830874496
1665,,DOWN,-0.7522450320160847
1666,,DOWN,-0.7295320104120633
1667,,DOWN,-1.1845322979723956
1668,,DOWN,-0.8740520892988587
1669,,DOWN,-0.9548145240263671
1670,,UP,0.5552777270858246
1671,,UP,0.4332766627145078
1672,,UP,0.9397317073126623
1673,,UP,0.47952149341166084
1674,,DOWN,-0.830981882867427
1675,,DOWN,-0.6197279328210957
1676,,DOWN,-1.430004435802807
1677,,DOWN,-1.0267294581655604
1678,,DOWN,-1.0621670915124324
1679,,DOWN,-1.6618010503917051
1680,,UP,1.0268407811255214
1681,,DOWN,-0.6117009523371718
1682,,DOWN,-0.6690204477489685
1683,,UP,0.5999705532230926
1684,,DOWN,-1.1746012292454127
1685,,DOWN,-0.7882533959290932
1686,,DOWN,-0.8247083179358488
1687,,DOWN,-0.7699775094011856
1688,,DOWN,-0.8082803285452486
1689,,DOWN,-1.1271275061255266
1690,,DOWN,-0.6117002575193895
1691,,UP,0.453391568379199
1692,,DOWN,-0.9841878967959972
1693,,UP,1.0561901405145537
1694,,UP,0.8896525754445891
1695,,DOWN,-1.5265633828168155
1696,,DOWN,-1.7575457394108545
1697,,UP,0.7857279870203538
1698,,DOWN,-1.200707661157531
1699,,DOWN,-0.928116108222227
1700,,UP,0.6809889180680829
1701,,DOWN,-0.7477238366663228
1702,,DOWN,-1.2898677778265735
1703,,UP,1.1293920004898859
1704,,UP,1.277911770760957
1705,,DOWN,-0.9032749700144461
1706,,DOWN,-0.6307789094400164
1707,,DOWN,-0.691699830467391
1708,,DOWN,-1.089931390919403
1709,,DOWN,-0.362097738201874
1710,,UP,1.2561630500252385
1711,,UP,0.9313640356197828
1712,,UP,2.247786497779767
1713,,DOWN,-1.1920304186814115
1714,,UP,0.9521593456742508
1715,,UP,0.7141838675554829
1716,,UP,1.1228335552768522
1717,,UP,0.6420230474675591
1718,,UP,1.2777228665395908
1719,,DOWN,-0.41299176425106304
1720,,UP,1.0292012154782566
1721,,DOWN,-0.6777763125726537
1722,,DOWN,-0.6562130858619295
1723,,DOWN,-0.7129507754885926
1724,,DOWN,-1.1535552642389313
1725,,DOWN,-1.2182309163792828
1726,,DOWN,-0.5478710562549629
1727,,UP,0.738488120725759
1728,,UP,0.45841149234853756
1729,,DOWN,-0.9272515849973788
1730,,DOWN,-0.6690129216889854
1731,,DOWN,-1.4844060224979259
1732,,UP,0.32595964239955477
1733,,DOWN,-0.5965549155934389
1734,,DOWN,-0.8525152828101895
1735,,DOWN,-0.5892283412170546
1736,,UP,0.934340441202415
1737,,UP,0.9573918538679599
1738,,DOWN,-0.6063954961954204
1739,,UP,1.0624736624371076
1740,,DOWN,-0.5416284933496047
1741,,DOWN,-0.8316861651336458
1742,,UP,0.5279572081769044
1743,,DOWN,-0.5902830311366609
1744,,UP,0.9154259111808905
1745,,DOWN,-1.6409098695222548
1746,,UP,1.0468228183207966
1747,,UP,0.8099969944066102
1748,,UP,0.73159349910709
1749,,DOWN,-0.8327916897056287
1750,,DOWN,-1.233135358787202
1751,,DOWN,-1.435593400968992
1752,,DOWN,-0.5816127368678137
1753,,DOWN,-0.6973724556334401
1754,,DOWN,-0.813938440483352
1755,,UP,0.9794094124673403
1756,,DOWN,-1.105561078906656
1757,,DOWN,-1.06499927343369
1758,,DOWN,-1.0395059729641036
1759,,DOWN,-0.7938632351592161
1760,,DOWN,-0.6727590520886553
1761,,UP,0.5000714046356814
1762,,UP,0.5041136494008299
1763,,UP,0.5606655068454532
1764,,DOWN,-0.4408902371290795
1765,,UP,0.9268038343468511
1766,,UP,0.7356764321693153
1767,,UP,1.2443088239541804
1768,,DOWN,-1.0026864170994028
1769,,UP,0.4404712574032153
1770,,UP,0.4870814565843055
1771,,UP,1.3323574826022593
1772,,UP,1.1180985255828582
1773,,UP,0.693039614190071
1774,,UP,0.5279992747713499
1775,,DOWN,-1.1931820489026284
1776,,UP,0.33974222994165937
1777,,DOWN,-0.5928447543422726
1778,,DOWN,-0.5063309544498424
1779,,DOWN,-0.4815262307032943
1780,,DOWN,-0.7176249875781605
1781,,DOWN,-0.5898747268725207
1782,,UP,1.9446946397534675
1783,,UP,1.9128792864038735
1784,,DOWN,-0.6354925594554409
1785,,DOWN,-0.5803372576439711
1786,,DOWN,-0.7022608579791166
1787,,UP,1.47162321674835
1788,,UP,0.40103210708904286
1789,,UP,0.4690835429574317
1790,,DOWN,-0.9086251333856665
1791,,UP,0.5770832842021623
1792,,UP,0.5257071122747471
1793,,UP,0.8343430777423806
