gene,direction,valence
Plxdc2,UP,2.8370212133512887
Rasgrp3,UP,2.834351307363933
Pvt1,UP,2.834320296139276
5830432E09Rik,UP,2.833519122325781
Bmp2k,UP,2.8333323275476747
Wdr44,UP,2.8326519585703656
Fap,UP,2.8321790010387726
Tlr6,UP,2.8319283733265457
Scoc,UP,2.828538831703924
Epb4.1l2,UP,2.826992831768235
H2-Q7,UP,2.826303456517942
H2-Q9,UP,2.8263034565179415
Asap3,UP,2.8232960806420158
Golm1,UP,2.8228176351355097
Tnfrsf14,UP,2.8180710342422475
Anxa3,UP,2.8168322113461257
Aim2,UP,2.8135150805584628
Xdh,UP,2.813004385768261
Xbp1,UP,2.811897400671007
Galnt12,UP,2.8089689159997993
Ncf4,UP,2.805735685076953
Ms4a6b,UP,2.7942998283363907
Trim65,UP,2.7919902106983137
Gsdmd,UP,2.791173828996345
Numb,UP,2.7903769269490537
Nfam1,UP,2.7899161358459748
Naip5,UP,2.7844536330154805
Rcsd1,UP,2.7832607726769076
Dnajb9,UP,2.7822315711375394
Ntpcr,UP,2.781383158047084
Xlr4b,UP,2.780945550028461
Bid,UP,2.7806814907866375
Tbxas1,UP,2.7759134490503365
Zfp758,UP,2.775046871792305
Daglb,UP,2.774681498305295
Zfp69,UP,2.773808834861222
Rnf13,UP,2.7731283640397346
Zfp36l2,UP,2.7709071403978722
Apbb1ip,UP,2.769818467223888
C1qb,UP,2.7681029951942535
Nbeal2,UP,2.7663287881376597
Mob3c,UP,2.7650179373467854
Tlr4,UP,2.7648733971134276
Herc6,UP,2.7644840713861583
Galnt3,UP,2.7638737697076685
Mgp,UP,2.7591911217322824
BC013712,UP,2.758502207669822
Slc4a10,UP,2.7574571220944306
Ren2,UP,2.753384266368509
Ren1,UP,2.753384266368509
Dnajb1,UP,2.7489512068059607
Tlr12,UP,2.746868789397744
Zfp715,UP,2.7412497341111632
Zfp429,UP,2.7386967115005265
Dusp27,UP,2.737681997513138
Tmem168,UP,2.7344618482306857
BC048943,UP,2.732849676211151
Cmtm7,UP,2.7310567313386422
Cndp1,UP,2.7288414136722974
Ceacam1,UP,2.7286553807006295
Sumf1,UP,2.7281281289726325
Spns3,UP,2.725797239139582
Zfp953,UP,2.7243660131953087
H2-Oa,UP,2.724024599731694
Fam167b,UP,2.721914142741211
Ptk2b,UP,2.721003550754898
Mbnl1,UP,2.7187981609133045
Card9,UP,2.7178731125287583
Neurl3,UP,2.713817731175478
Slc17a9,UP,2.712546719603834
Trim21,UP,2.712440094529521
Gbp7,UP,2.710519053710024
Lrba,UP,2.706074027383954
Tgfa,UP,2.7031161609183942
Psap,UP,2.701274143732263
Cyp27a1,UP,2.70082407257528
Mtus1,UP,2.6968941916456997
Dram2,UP,2.6966113859373766
X99384,UP,2.6946675076984925
Slc25a45,UP,2.69457507301751
Atp10a,UP,2.6929103574038527
Abcc3,UP,2.692522828012916
Msrb2,UP,2.6911566448568616
Gm17757,UP,2.685632227649527
Gm18853,UP,2.6856322276495264
Pros1,UP,2.6850749598751285
P2rx7,UP,2.6835727106275464
Iigp1,UP,2.6820803291863
Dok1,UP,2.6813265451655535
Blnk,UP,2.6797200676397313
Lrrc38,UP,2.6766303168840544
Fmo5,UP,2.6731627583700623
Cd200r1,UP,2.6728979490709617
Tmem176a,UP,2.670695553204376
Csf1r,UP,2.66839184110724
Cyp4f13,UP,2.6659233366793336
Fgd2,UP,2.6646580856977837
Scn7a,UP,2.663031208541778
Lilra5,UP,2.661822224901554
Dapp1,UP,2.659318153915498
Kcnk12,UP,2.657515146793487
Il13ra1,UP,2.6512886157123776
P2ry6,UP,2.6434709620426
Batf2,UP,2.6432669297055806
Map3k8,UP,2.6422843360623136
Rgs19,UP,2.6421148996426376
4930420K17Rik,UP,2.6403023227171083
Gadl1,UP,2.6395906072246795
Ifit1,UP,2.639345000383567
B3gnt2,UP,2.6380462979187347
Il10rb,UP,2.63586779562592
Cttnbp2nl,UP,2.6341106400106464
Nmi,UP,2.6328070258316263
Psmb8,UP,2.6297407244782223
Elmo1,UP,2.6286483627730406
Il27,UP,2.6281572904057495
Cd59a,UP,2.6274269277365345
Map3k5,UP,2.626731837541861
Fam55b,UP,2.625872267164672
Akna,UP,2.6243279991906343
Hvcn1,UP,2.616140766422383
Cd164,UP,2.6129122261558275
Ccdc88b,UP,2.6097695738447624
Klf2,UP,2.609161781443088
Mcfd2,UP,2.6079990924630825
Clec2d,UP,2.6077387995606247
Ecscr,UP,2.6066718526325414
As3mt,UP,2.605933559594363
Ogfrl1,UP,2.605840640149803
Crebl2,UP,2.5943804932214416
Sod3,UP,2.593869980816963
Tyrobp,UP,2.592621499174961
BC037034,UP,2.5920457649655746
Parp3,UP,2.591522973181011
Reep5,UP,2.5906247270260714
Hist1h2bc,UP,2.5878931943835086
Dennd1c,UP,2.5876408199807592
