,gene,direction,valence
3580,Mgat4a,UP,2.1533636830882874
6096,Tm6sf1,UP,2.15149494760405
5443,Sla,UP,2.148539059248675
3374,Ly6e,UP,2.145981686741983
2921,Ifnar2,UP,2.1449262520471115
2493,Gm13476,UP,2.1386552836910564
2428,Gcnt1,UP,2.130980988489964
2911,Iffo1,UP,2.127820368912807
6550,Unc93b1,UP,2.127025455615894
2915,Ifi27l1,UP,2.1244322942558296
3484,Mavs,UP,2.1226253203235297
2583,Gpr155,UP,2.1187978152618276
5375,Sgce,UP,2.1184426057923353
954,Btg1,UP,2.1158678088687046
1221,Cebpa,UP,2.1144979039854146
3327,Lrrc3,UP,2.1139926981355806
2503,Gm4980,UP,2.1123448069061985
5273,Scamp2,UP,2.1118772831187114
6649,Vwa5a,UP,2.1085935970088685
2950,Ikzf1,UP,2.106740853949909
4161,P2ry12,UP,2.0993670761633987
6483,Ube2j1,UP,2.099256197194043
2951,Ikzf1,UP,2.098033013628742
5072,Rnf13,UP,2.094423279790663
3953,Nfkbiz,UP,2.093682274759593
2651,Gtf2h2,UP,2.0933108834497
5992,Tcn2,UP,2.0928195587394978
5021,Rgs19,UP,2.087483467012768
1022,Capn3,UP,2.0786459872032634
1848,Dram2,UP,2.0777880193959826
3109,Kcnk13,UP,2.077559335925574
5186,Rps6ka1,UP,2.0764046136526413
2858,Hps3,UP,2.074434921849116
6728,Wsb1,UP,2.0705270557350075
2096,Evi2a,UP,2.069187085033518
455,Aim2,UP,2.063448175616253
4100,Nxt2,UP,2.0630606083237106
2488,Gm10790,UP,2.062107365434971
6736,X99384,UP,2.060782503601099
5955,Tbpl1,UP,2.0573084490684974
2897,Icosl,UP,2.0539046544239765
3833,Naip2,UP,2.048546646226453
1867,Dusp1,UP,2.046579377664053
1586,Cyp4v3,UP,2.0443877348380877
2260,Fcrl1,UP,2.044307611070869
5496,Slc25a37,UP,2.042161581944345
2450,Ggta1,UP,2.0404152514830542
5022,Rgs2,UP,2.038477885397784
908,Bin1,UP,2.0365585581689447
3867,Nckap1l,UP,2.0353377124524217
2679,H2-D1,UP,2.033317802509831
5008,Rffl,UP,2.0322380878356885
721,Asph,UP,2.0297103108921593
722,Asph,UP,2.0254300862480314
1317,Clk1,UP,2.025024841847651
2855,Hpgds,UP,2.023852831486071
2916,Ifi27l1,UP,2.020992827510142
1045,Casp8,UP,2.020839838722906
5990,Tcn2,UP,2.016366917531151
6648,Vwa5a,UP,2.0114777582238474
5530,Slc37a2,UP,2.011156579607119
534,Ankrd57,UP,2.0106491098732264
2391,Gal3st4,UP,2.0064955516592997
2558,Gpbp1l1,UP,2.0062923262953913
244,9030617O03Rik,UP,2.0035657351855503
3058,Itm2b,UP,2.0003014382114035
3379,Ly86,UP,1.9993232565842536
