,Upregulated,Downregulated
394,Insig2,Pabpc4
395,Uap1,Sertad3
396,Pla2g15,Mfn2
397,Icmt,Pygl
398,P2ry12,Cstf2
399,Ngly1,Acaa1a
400,H47,D17Wsu104e
401,Rnf130,Eif3h
402,Chst12,Elovl6
403,Cysltr1,Colec12
404,Chst11,Vps4a
405,Slc35b4,Zcchc14
406,Rilpl1,Tulp4
407,Hs1bp3,Xpnpep1
408,Rnase4,Setbp1
409,Mknk1,Rheb
410,Mlxipl,Echs1
411,Pmaip1,Nup62
412,Crbn,Pcdhga12
413,Naip7,Pcdhga11
414,Stard3,Pcdhga10
415,Fam129a,Pcdhga9
416,Gtf2h2,Pcdhga8
417,B4galt1,Pcdhga7
418,Itm2c,Pcdhga6
419,Herpud1,Pcdhga5
420,Sdf2l1,Pcdhga4
421,Parvg,Pcdhga3
422,Dctn5,Pcdhga2
423,Nek7,Pcdhgc5
424,Zfp191,Pcdhgc4
425,C1galt1c1,Pcdhgc3
426,Chst7,Pcdhgb8
427,Cd274,Pcdhgb7
428,Il21r,Pcdhgb6
429,Tmod1,Pcdhgb5
430,Qk,Pcdhgb4
431,Eed,Pard3
432,Alas1,Lyve1
433,Tob2,Ttyh2
434,Zc3h8,Dhcr24
435,Herpud2,Rpl31
436,As3mt,Mrpl43
437,Arhgap31,Mrpl36
438,Cd200r1,Egln2
439,Sall1,Egln1
440,Sh3kbp1,Erc1
441,Ctss,Magee1
442,Cxcl10,Ric8
443,Tk2,Cdk20
444,Srd5a3,Nans
445,Tlr4,Tbrg4
446,Etv5,Pwp1
447,Mphosph8,Pan2
448,Zfp84,Ftsj1
449,Trim12a,Tcta
450,Ehhadh,Cd276
451,Ern1,Nup107
452,Tsc22d4,Mbtd1
453,Mtmr2,Pelo
454,Jam2,Nt5m
455,Uba7,Tubg1
456,Nipa2,Tmed4
457,Mccc1,Fbxw11
458,Rab27a,Ano10
459,Slc29a3,Naa38
460,Ptplb,Isy1
461,Pex13,Tada3
462,Crot,Creld1
463,Rdh14,Chchd4
464,Hsdl2,Itfg2
465,Rexo2,Eif3b
466,Cyp27a1,Imp3
467,Lap3,Snapc2
468,Tnfrsf23,Zdhhc7
469,Rrbp1,Taf5l
470,Chmp1b,Dohh
471,Oxct1,AA960436
472,Ormdl2,Sf3b3
473,Ppp6c,Unc45a
474,Derl1,Kdelr1
475,Cacnb2,Ptov1
476,Asb2,Psip1
477,Dusp12,Ddx41
478,Cxcl16,Psmd2
479,Tor3a,Mtbp
480,Slc30a5,Sgsm3
481,Scamp2,Scrib
482,Pmepa1,Slc38a1
483,Zfand6,Farp1
484,Zfp110,Dnajc9
485,Tmem86b,Adk
486,Tox4,Chmp7
487,Hist1h2bc,Ankrd32
488,Samsn1,Yars
489,Rsc1a1,Otub1
490,Sbds,Ciapin1
491,2010106G01Rik,Wdr74
492,Slc30a7,Psmg2
493,Ppp1r7,Slc39a3
494,Pycard,Prpf19
495,Plekho1,Ift140
496,Ubap1,Zfp704
497,Lat2,Slc25a3
498,Ostf1,Pdk2
499,Rfx5,Ndufv1
500,Akap8l,Rbm42
501,Ccrl2,Kptn
502,Polm,Gmppa
503,Slc40a1,Tmem97
504,Spint1,Apcdd1
505,Cd164,Glcci1
506,Slc7a8,Rfxap
507,Gbp3,Rac3
508,Sh2b2,Ing4
509,Sgsh,Acaca
510,Socs6,Mapre3
511,Dnajb1,Dhx30
512,Dclre1a,Asb6
513,Wbp4,Psph
514,Ctnnal1,Mmadhc
515,Pgcp,Cdc123
516,Rassf5,Ubac1
517,Golga4,Rdh10
518,Igtp,Gltscr2
519,Atp6ap1,Atp6v1h
520,Extl3,AI597479
521,St3gal6,Sh3bp4
522,Egr3,Fam63a
523,Crlf3,Lrrc8c
524,Skap2,Stx12
525,Reck,Gpn2
526,Fbxl3,Adprhl2
527,Hs6st1,Kdm1a
528,Rgs1,Prmt3
529,Lats2,Cyfip2
530,Ercc4,Fbxo31
531,Fgd3,Dnttip1
532,Rbbp9,Ncapg2
533,Zeb2,Gpn1
534,Enpp2,Tubgcp2
535,Atp8a2,Fam118a
536,Crim1,Adck4
537,Fbxo8,Lrrc59
538,Icosl,Stard4
539,Hist1h1c,Cops8
540,Nxf1,Tmem132a
541,Dgka,Dpp3
542,Stx7,Gtf2f1
543,Vamp8,Nol12
544,Rab33b,4833439L19Rik
545,Bnip2,Qars
546,Itgb3,Smc4
547,Smad3,Ptges2
548,B4galt4,Pigt
549,Acp6,Fam131a
550,Dnajc7,Anapc5
551,Tbk1,Trappc2l
552,Pdlim5,Maea
553,Hnrnph2,Pole3
554,Ctsf,Arhgap23
555,Pdcd10,Thap11
556,Slc2a5,Wsb2
557,Nupr1,Cope
558,B4galt6,Stk25
559,Asah1,Smu1
560,Usp8,Carm1
561,Akap8,Psmd14
562,Clip1,Rcl1
563,Serinc1,Edf1
564,Htra2,Rab2a
565,Fam48a,Rbfox1
566,Sort1,Fibp
567,Mbnl1,1700123O20Rik
568,Stat2,Stx6
569,Akap10,Shank3
570,Pex3,Rnf8
571,Ranbp9,0610007P14Rik
572,Zfp111,Akr1a1
573,Ccnl1,Prps1
574,Aif1,Fzd3
575,Sh3glb1,Elp2
576,Apbb1ip,Sv2a
577,Hpgds,Ube4b
578,Unc93b1,Dusp10
579,Irgm2,Eral1
580,Uso1,Myg1
581,Ebag9,Agrn
582,Cd86,Midn
583,Pigb,Mrps30
584,Gpr56,Fam203a
585,Ube2a,Mettl9
586,Pias1,Nsa2
587,Socs5,Qtrt1
588,Wsb1,Tsg101
589,Elf4,Prkar1a
590,Arid3b,Trappc4
591,Srpk3,C1d
592,Ubc,Slc25a20
593,Plek,Wdr46
594,Rhog,Rps14
595,Plxnb3,Gabarapl1
596,Ube2j1,Srsf4
597,Gde1,Terf2ip
598,Mto1,Atp5j2
599,Fam111a,Th1l
600,Wls,Park7
601,6230427J02Rik,Tnfrsf10b
602,Leprotl1,Trim44
603,Cgnl1,Med20
604,Rab14,Srf
605,Ms4a6d,Sap30bp
606,Cgrrf1,Dolpp1
607,Ifi27l1,Drg2
608,Ndufaf4,Ptplad1
609,Slc46a1,Cdon
610,Tmem126b,Snrpa1
611,Slc39a13,Slc43a3
612,Lmbrd1,Ap4m1
613,Syf2,Rqcd1
614,Tmed10,Zbtb22
615,Uckl1,Smarce1
616,Pnrc2,Tyms
617,Rab32,Rnf25
618,Atg3,Sec61a2
619,Tmem70,Slc15a2
620,Yipf4,Gprc5b
621,Samd8,Rnf187
622,Slc25a37,Ift46
623,Tmem179b,Tollip
624,Fam174a,Dtx2
625,Rgs10,Zdhhc16
626,Fam173b,Paqr4
627,Ppm1m,Plekhj1
628,Rgs19,Elp4
629,Tmem86a,Cep70
630,Tmem100,Chchd2
631,Tmem66,Ipo5
632,Mphosph10,Kdelc1
633,Zcchc10,Abcb6
634,Zfp644,Tubb2b
635,Manba,Spns1
636,2810422O20Rik,Ssbp3
637,Zfp715,Clns1a
638,Vrk2,Igf2bp3
639,2210016F16Rik,B3gat3
640,Mettl7a1,2410042D21Rik
641,Ifi35,Kif23
642,Tnfaip8l2,Qdpr
643,Ms4a6b,Zfpl1
644,Ttc39b,Rps25
645,Tmem144,Ubxn6
646,Actr8,Fars2
647,Pgrmc2,4930455C21Rik
648,Cep192,Ipo4
649,Cwf19l2,Pcyt2
650,Kdsr,Mrpl28
651,1700020O03Rik,Tbc1d20
652,Lman1,Lrrc40
653,Gcc2,Arl2bp
654,Rpf1,Yaf2
655,Rnf167,Ssbp2
656,Bbx,Mrpl38
657,Atp6ap2,Drap1
658,Gsdmd,Mrps23
659,Cnot8,Atp6v1g1
660,Dnajc24,Hspbp1
661,Ap1s2,Sec61b
662,1190005F20Rik,Ndufa10
663,Cab39l,Crip2
664,Khnyn,Pdhb
665,Sec62,Hsbp1
666,Taf12,Tomm20
667,Acot11,Anapc4
668,Mterfd1,Rpl4
669,Mrps15,Slc25a11
670,Ccdc82,Sec13
671,Iscu,Rps19
672,Tbc1d15,Rce1
673,Tmed7,Rab8a
674,Erlec1,Eno1
675,Col27a1,Dab2
676,Rpe,Mcam
677,Ntpcr,Twsg1
678,3110001I22Rik,Clstn1
679,Pigk,Map2k2
680,Abi3,Dmap1
681,Atp6v1c1,Nit2
682,Susd3,Ndufb9
683,Tmed3,Mrpl4
684,Rmnd1,Fam89b
685,Abhd6,Ethe1
686,1110018J18Rik,Cwc15
687,Bhlhe41,Nono
688,Abhd12,Glrx3
689,Rap1b,Asb4
690,Rab21,Polr1e
691,Ublcp1,Suv39h2
692,Synj2bp,Thop1
693,Slc31a2,Sirt3
694,Gng10,Pex19
695,Ing5,Gfer
696,Camk2n1,Arl6ip6
697,Nemf,Nif3l1
698,Sec11c,Rpl23
699,Med11,Pes1
700,Cd302,Pla2g12a
701,Acer3,Ankra2
702,Zkscan6,Mum1
703,Herc4,Pgam1
704,Ppil4,Mesdc2
705,Srek1ip1,Myl12b
706,Cmtm6,Mdp1
707,Utp11l,Sdhb
708,Dram2,Pin1
709,2810474O19Rik,Ssna1
710,Far1,Serhl
711,Slc25a30,Ilkap
712,Mfap1a,Mrto4
713,Fgfr1op2,Tfpt
714,Ttc33,Mrps9
715,Agpat2,Elac2
716,Dusp6,2310008H09Rik
717,Tbc1d23,Ndufaf3
718,Gin1,Eef1d
719,Plxdc2,Diablo
720,Isoc2b,Stoml2
721,Mtpap,Ube2v1
722,1810074P20Rik,Pgpep1
723,Ero1lb,2500003M10Rik
724,Ccdc47,Anp32e
725,Prpf38b,Dctpp1
726,Mpi,Ndufa7
727,Naa16,Mrpl46
728,Eif4e3,Agtpbp1
729,Lman2,Mkrn2
730,Acadsb,Jam3
731,Chordc1,Rhoj
732,Rras2,Dhodh
733,Crnkl1,Ppp2cb
734,Trit1,Nfil3
735,Tmem206,Clpp
736,Shisa5,Copg2
737,Aagab,Dnalc4
738,Chmp3,Zfp316
739,Ube2w,Atf6b
740,4933434E20Rik,Mrpl39
741,1200014J11Rik,Nudt5
742,Tax1bp1,Blcap
743,Slc16a9,Porcn
744,Ppp1r2,Sec61a1
745,Fuca2,Galk1
746,Etfdh,Esd
747,Dynlt3,Phgdh
748,Mettl21a,Rps3a
749,Lsm14a,Hmgn2
750,Mtdh,Sart3
751,Tomm34,Nup210
752,Mis12,Mkrn1
753,Herc6,Syt11
754,Oma1,Eif3i
755,Cisd2,Ywhag
756,Syap1,Nop58
757,Dnajb4,Slc1a4
758,Fancl,Rpl41
759,Zfp862,Pebp1
760,E230029C05Rik,Gas8
761,Btbd19,Ift20
762,4930481A15Rik,Rplp1
763,Clk1,Ubqln2
764,Ythdf3,Nme6
765,Senp2,Ywhab
766,Pisd-ps2,Eif3d
767,Pisd-ps3,Sema6a
768,Pisd-ps1,Agpat6
769,Neat1,Bet1l
770,Pvt1,Rai12
771,Gm6548,Rp9
772,Gm5512,Eef1b2
773,2610203C22Rik,Gipc1
774,Etohd2,Ak2
775,H2-K2,Cldn1
776,A530088E08Rik,Stra13
777,G530011O06Rik,Ppap2c
778,Dleu2,Lsm4
779,B230206F22Rik,Keap1
780,0610039K10Rik,Coil
781,Malat1,Nes
782,Tmx3,Incenp
783,Helz,Hnrpdl
784,Orai3,Uba2
785,Dagla,Hspa14
786,Trim68,Bloc1s1
787,Ascc3,Mapk6
788,Fam58b,Isg15
789,Tmem140,Hmgn5
790,Fam175b,Ccs
791,Gmip,Atxn10
792,Wnk1,Hnrnpa2b1
793,Alg8,Mtx2
794,Cep135,Stx1a
795,Enpp4,Exoc7
796,D14Ertd668e,Ppp2r1a
797,Zfp933,Dctn3
798,5031414D18Rik,Eif3g
799,Zfp691,Actr1a
800,Slc17a9,Bysl
801,Fam107a,Srpk1
802,P2ry6,Txnl1
803,Thada,Lxn
804,Gpr183,Slc35b1
805,Pcmtd1,H2afz
806,Slfn5,Cdc37
807,Dennd4c,S100a11
808,Klhl6,Uchl3
809,Sh3tc1,Galns
810,C330019G07Rik,Nup50
811,Naif1,Ube2k
812,Tbc1d2b,Plrg1
813,Usp24,Prkag1
814,Accs,Nasp
815,1110002N22Rik,Mybbp1a
816,Nbeal2,Atp5b
817,Pon2,Prdx4
818,Mycbp2,Hsd17b10
819,Exoc5,Vapb
820,Tes,Anapc7
821,Man1c1,Ube2g2
822,Arl5c,Maged1
823,Ctdspl2,Pldn
824,Kdelc2,Actr10
825,Fndc3a,Nudt3
826,Acsl4,Noa1
827,Yipf6,B4galt5
828,Hook3,Zmym3
829,Cflar,Prmt1
830,Rrm2b,Gsk3b
831,Fez2,Arpc3
832,Phkb,Timm22
833,4922501C03Rik,Copz1
834,Cybasc3,Vps29
835,Trim56,Sae1
836,N4bp2l2,Pdcd5
837,Xkr8,Tusc2
838,Dennd4b,Apip
839,Trim30d,Gabarap
840,3110062M04Rik,Snd1
841,Foxk1,Rab9
842,Mast3,1110004F10Rik
843,H2-Ab1,Arpc1a
844,Zfp652,Amotl2
845,Tlr12,Mtch2
846,Tlr13,Fzr1
847,Gm15441,Rbm14
848,C920021L13Rik,Stub1
849,Mir5107,Med8
850,2610020C07Rik,Aldh9a1
851,Gm14023,Mlst8
852,B230378P21Rik,Ick
853,LOC100503496,Hacl1
854,Gm10336,Alg2
855,Gm20300,Pigo
856,4930592A05Rik,Poll
857,Lrch4-sap25,Lpar2
858,A130049A11Rik,Taf10
859,Gm10790,Rfc2
860,Mir702,Cyp51
861,Mir3064,Crtap
862,Hmga2-ps1,Mllt11
863,4933412E12Rik,Txn2
864,1810026B05Rik,Ube2d2
865,9130019P16Rik,Uba52
866,Gm16897,Mtch1
867,Fam120b,Suclg1
868,Snora81,Dnajb5
869,Tppp,Sumo3
870,Tmem41b,Cnpy2
871,BC028528,Sec11a
872,Pilra,Ube2l6
873,Nckap1l,Clec4e
874,Pms1,Cript
875,Dennd1c,Pf4
876,Mboat1,Arl3
877,Zcchc6,Ramp2
878,Pank2,Stk19
879,Dusp7,Mad2l1
880,Hbp1,Olfm1
881,Fbxo7,Rala
882,Gimap6,Ppie
883,Atp10d,Panx1
884,Wasf2,Hes6
885,Neurl3,Pqbp1
886,Eif2c3,Gabbr1
887,Zbtb24,Rnf5
888,Nudt6,Pabpn1
889,Nupl1,Cyhr1
890,Dnttip2,Exosc9
891,Arhgap22,Cyp39a1
892,Fermt3,Nprl2
893,Cd300a,Paxip1
894,4933403F05Rik,Ndufb11
895,Gbp5,Cd320
896,Pcmtd2,Ppp2ca
897,Rps6ka5,Pfn2
898,Mylip,Ppp4c
899,BC037034,Actl6a
900,Abca9,Ykt6
901,Vps39,Hsd17b12
902,Arhgef6,Tspan6
903,Rps6ka3,Asna1
904,Zc3h12a,Ptpn9
905,Lysmd1,Gosr2
906,Phospho1,Rpl21
907,Ggnbp2,Ncs1
908,Kctd11,Kcmf1
909,Slc36a1,Rbx1
910,Wipf1,Aldh18a1
911,Traf3ip3,Ddx39b
912,Sirt7,Cib2
913,Sec63,Ruvbl1
914,Usp45,Dynll1
915,Otud6b,Stmn1
916,Zfp472,Tdp2
917,Nupl2,Ptbp2
918,St7l,Rbm38
919,Fcrl1,Psmg1
920,Ddx58,Htra1
921,Rsbn1,Tspan7
922,4932438A13Rik,Napb
923,Ganc,Ccl24
924,Agps,Scamp4
925,Pdk1,Patz1
926,Galnt12,Wwox
927,Zmpste24,Tspan5
928,4732418C07Rik,Agpat4
929,6720456H20Rik,Cdipt
930,Fcho2,5430437P03Rik
931,Wdr41,Fam96a
932,Lhfpl2,Nhp2
933,F11r,Mfsd10
934,AI848100,Etfb
935,Mapk4,0610011F06Rik
936,D18Ertd653e,Ccdc88c
937,Mppe1,Efcab2
938,Pggt1b,D10Wsu102e
939,Rbm27,Gar1
940,Ino80c,Gcsh
941,Clic5,Yeats4
942,Dock4,9430023L20Rik
943,L3mbtl3,Txndc17
944,Malt1,Fam92a
945,Lnpep,Rchy1
946,Lmln,Fam166a
947,Ddx26b,Fam98b
948,Maob,Ccdc56
949,Gbp9,Urm1
950,Fam63b,Ndufa5
951,Akr1b10,Ccdc34
952,AI314180,Ndufb2
953,Dnajc16,Sympk
954,Slc25a32,Bcas2
955,Asxl2,Dhrs1
956,Ostm1,Rabl2
957,Twistnb,Gtf2f2
958,Nfkbid,Ppp6r2
959,Pdxk,Hddc3
960,Adap2,Agpat5
961,Cep68,Fbxw9
