,pvals,direction,sig,logdiff
2610044O15Rik,0.012884973699241426,DOWN,2.9639063525049965,-0.8588444476921742
Slc1a3,0.017810995347277463,UP,-2.7829092564592273,0.7419775541508624
Arhgef6,0.04949489115166647,DOWN,2.2067967175267635,-0.4429407164388505
Cdc5l,0.033672324329339025,DOWN,2.4255809917901474,-0.6196982821941667
Ddx58,0.004125495521575055,UP,-3.6061174906555493,0.9390982645507732
Lrp4,0.03394051830541988,UP,-2.421102841941955,0.6929047292971822
Slc2a6,0.0007857077671361139,UP,-4.583595240932634,2.948449926235782
Pcgf3,0.004574504031296273,DOWN,3.54719956518848,-0.8901931686214921
Rnd1,4.423613370068813e-07,UP,-10.524951834671825,5.165442113124032
Phf11,0.04535092334393302,UP,-2.256737057471789,1.715567560830836
Wdhd1,0.03432142529458237,UP,-2.414801476895853,1.2340852704708944
Lhfpl2,0.00442559432402703,DOWN,3.5660536092289035,-0.9825073648863122
Ifi205,0.0005808375149911099,UP,-4.769831714416196,4.932430732831006
F11r,0.00011934110597994073,DOWN,5.799706344130866,-0.4874593044637705
Zfp454,0.02385528503120538,DOWN,2.619373328024565,-1.5339681880500187
Adamts4,0.0002684505546013773,UP,-5.259922428235508,6.663770950608771
Tor1aip2,0.032754848165172504,UP,-2.4411674425249545,0.4924625957064212
Klhl4,0.019240540377464747,DOWN,2.739735523497032,-1.0522911256204681
Plekha7,0.03964460485956526,UP,-2.333202952397262,1.1278366017727652
Fgd5,0.041093843668273664,DOWN,2.312824523666348,-1.2703337255952731
Naa25,0.0060613957593553215,UP,-3.387520464243705,0.5437240563735309
Gbp9,0.0017760483260328584,UP,-4.094451348210846,1.2892780501169026
Mthfsd,0.042123241312639934,DOWN,2.2987664018079355,-0.5816349938392409
Akr1b10,0.001489262411353998,DOWN,4.198533013970061,-0.5538806851247733
Aim1,0.00010984960117551254,UP,-5.85647237912597,1.9860201112826499
Ahsa2,0.012244675612494422,DOWN,2.9924172601284407,-0.6777210887012913
Fmnl2,0.0032066265820944505,UP,-3.750591322174226,1.0066448447637095
Myl6b,0.038275752555859986,UP,-2.3531228570119676,1.8487064328918268
Fam176b,0.033665790359918055,DOWN,2.42569052477265,-1.7738991487998736
Nup133,0.04787421001667152,DOWN,2.2258337467027025,-0.8136472421349386
2210018M11Rik,0.020118519503413215,DOWN,2.7147733792141313,-0.804296349815019
Mark4,0.048639228357242964,UP,-2.216772077491968,0.7778686201729987
Rbbp5,0.04009691190935791,DOWN,2.3267667191725128,-0.5711120691029112
Acot6,0.004639571607155012,DOWN,3.539158335930913,-2.4831847800535436
Zfp277,0.003612563721993038,DOWN,3.68210084304715,-1.2400759925381273
Papolg,0.015977309532714305,DOWN,2.8436462753589082,-0.7530988075851699
Dtx4,0.04307413275542175,DOWN,2.286071322510858,-0.8295814023834334
Shroom2,0.026126473346561138,UP,-2.568363104109577,1.4399811624612193
Boc,0.0193947962272318,UP,-2.735268945983495,1.4327606709892862
Ncoa7,0.001246674707830175,UP,-4.3044374278055475,1.6708316552438822
Tubgcp5,0.0021375315439757284,DOWN,3.9857871055758936,-0.8752339164618284
Rps6kl1,0.03964251598539483,DOWN,2.333232840809625,-3.3753221034697938
Actr1b,0.04315147609740965,UP,-2.2850506244057662,0.7822683961290184
Golph3l,0.04011093921337852,DOWN,2.3265682361827986,-0.6626029237357569
Zfp119b,0.033280787348898465,DOWN,2.4321813704858872,-0.7667918047205358
Zfp668,0.0052307411785981065,DOWN,3.4710000725054813,-1.7945789593388322
Apol10b,0.00015923975895390803,UP,-5.604500054062151,3.4237796055654997
Erc2,0.042933008961026996,UP,-2.2879382810019093,1.9464497512887042
Atmin,0.03463261779254161,DOWN,2.4097036658907385,-0.9322133913164022
Awat2,0.04130416111315102,UP,-2.3099249171065206,2.9435014449867385
Lrrc61,0.04374637466318476,DOWN,2.277258061321344,-1.2669441203049685
Pik3ip1,9.951219787807015e-05,UP,-5.924574111492202,1.717807173140475
