Gene,F_P60_LPS 1,F_P60_LPS 2,F_P60_LPS 4,F_P60_LPS 5,F_P60_LPS 6,F_P60_Sal 1,F_P60_Sal 2,F_P60_Sal 3,F_P60_Sal 4,F_P60_Sal 5,F_P60_Sal 7,F_P60_LPS 3,F_P60_Sal 6
Zfp110,133,63,67,135,147,333,101,253,79,121,118,74,97
Lpar3,0,1,1,0,0,0,0,0,0,0,0,0,0
Zfand6,155,116,116,159,175,452,132,351,147,118,176,137,173
Zic5,0,1,1,2,1,4,1,5,1,0,1,3,1
Nif3l1,17,23,10,11,23,54,9,31,13,14,23,18,17
Arl6ip6,11,17,18,19,21,45,22,53,21,19,24,15,20
Arl6ip5,117,136,121,159,155,370,107,318,95,95,162,100,187
Lrp10,128,92,202,151,141,325,154,325,84,76,137,118,16
Pmepa1,209,50,195,204,171,645,265,558,180,215,173,204,32
Ndfip1,231,285,236,229,246,559,169,534,139,128,263,139,232
Vps35,295,290,182,286,351,819,256,689,265,308,338,214,344
Prrg2,9,4,7,10,20,27,7,29,8,6,8,7,8
Gfer,15,5,9,15,15,37,16,41,16,13,12,16,8
Pex19,44,28,39,44,41,128,50,156,38,37,81,47,51
Recql,26,12,32,22,39,74,23,60,29,23,33,23,15
Prnd,0,0,0,1,0,2,0,0,0,0,0,2,0
Slc15a3,210,94,269,371,361,859,247,569,167,234,121,225,83
Xpo7,107,64,52,112,101,334,98,258,88,95,129,103,61
Dpysl5,0,0,2,4,4,9,1,1,1,2,1,0,0
Asb4,47,40,55,45,101,11,2,13,9,11,10,47,11
Asb2,14,1,25,22,18,109,41,87,22,38,22,44,11
Clstn1,132,67,137,136,144,422,168,376,127,101,143,136,39
Ccl21c,0,0,0,0,0,0,0,0,0,0,0,0,0
Twsg1,55,70,64,84,78,129,34,140,30,9,98,44,56
Utp3,44,37,42,43,70,99,34,90,26,45,33,28,40
Slc9a3r2,15,8,28,17,49,50,26,75,25,13,70,37,13
Pkmyt1,3,1,7,2,3,14,3,9,6,1,0,6,3
Sigirr,5,1,4,3,4,5,2,15,6,3,13,1,5
Eefsec,33,3,33,23,26,71,19,43,32,21,14,20,7
Mcam,50,34,72,44,93,45,11,58,12,13,68,41,18
Ifi30,85,53,122,81,175,199,84,206,79,94,34,82,76
Aspa,0,1,0,1,0,2,0,3,4,0,2,0,2
Apoc3,1,0,0,0,0,1,0,1,0,0,0,0,0
Cacnb2,18,13,14,16,20,62,14,29,11,12,8,14,5
Dab2,214,166,157,196,212,431,135,412,109,74,234,240,86
Eno1,30,46,125,89,103,146,54,140,35,19,59,53,67
H2-Q8,9,1,8,1,10,26,5,5,3,2,1,14,3
Rab8a,49,46,69,77,107,202,57,118,62,75,49,37,84
Palm,0,4,7,7,7,19,7,22,8,12,20,9,2
Rce1,15,6,11,6,26,37,15,32,17,9,20,12,13
Rps19,14,15,16,33,36,44,24,39,15,13,16,9,35
Sftpa1,0,0,0,0,0,0,0,0,0,0,0,0,0
