"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cldn1",167.858173679794,-0.545507328372926,0.365365069421438,-1.49304729441363,0.135424807411756,0.380919410114183
"Cldn2",235.549345578805,0.35898145182398,0.413058578418604,0.86908121651496,0.384802709807808,0.653111501654909
"Rab10",230.486804117117,-0.21619834156927,0.0869122928129602,-2.4875461752521,0.0128627754520404,0.0836199725119659
"Hpcal1",35.5807191691989,0.357948834711491,0.152832070153365,2.3421055172013,0.0191752928572497,0.11110413587731
"Reck",48.4747845099391,0.285531557838886,0.237330501448876,1.20309676209231,0.22893887824505,0.505642501967006
"Keap1",27.552785267264,0.304053872748315,0.185578207455886,1.63841367430274,0.101335428537588,0.322726054620049
"Clasrp",30.0020230040711,0.0275608376207794,0.209840052955624,0.131342120975388,0.895504672655765,0.955353545404267
"Chek2",13.0183809335579,0.364344583471952,0.258783858651487,1.40791077685656,0.159157491541779,0.416729198851031
"Uba2",149.381562509147,0.053744253737417,0.0943282430354655,0.569757815983175,0.568841970406008,0.787052818195134
"Zkscan5",19.4198020685471,0.317060883683123,0.199505142910373,1.58923664351631,0.11200697646014,0.341127368670194
"Zscan12",13.1450738233359,0.745166439610787,0.258654129138837,2.88093772982378,0.00396493965801495,0.0342195777381389
"Comp",7.08291932833371,-1.54802059025583,0.408343330958848,-3.79097801504647,0.000150055237738268,0.00222558117686726
"Vezf1",128.168906257694,-0.328241595240046,0.127518080509903,-2.57407885946461,0.0100507362123118,0.0698639412764362
"Sfrp4",0.389467750123185,-0.0468064693618858,2.99376614447311,-0.0156346444922883,0.987525866748604,NA
"Pdcd7",22.061977610782,-0.118233820932803,0.213081047092847,-0.554877228856885,0.578978638222367,0.79363956902931
"Aqp3",0.0915400968621473,-1.20387625261506,3.0009538303155,-0.401164536572857,0.688298988619134,NA
"Hnrpdl",223.779992586179,-0.257403401773793,0.12120828812555,-2.12364522059061,0.0336998212056845,0.165094964704255
"Clcn5",31.2485446689747,0.0253981954722485,0.153091146491356,0.165902444748381,0.868233723527519,0.944737510205862
"Incenp",15.1356297839929,0.430882976501546,0.245171658568272,1.75747465680891,0.0788369378858752,0.281438316585271
"Map3k6",27.9445595116255,-2.04319636140012,0.298767442282976,-6.83875172538016,7.98861936947307e-12,4.22522600311451e-10
"Park2",5.82180112324831,-0.0616857144115662,0.335377360323523,-0.183929274033467,0.854068939213148,0.939462427563294
"Mpp2",5.90831859468258,-0.253231730397461,0.411455262420761,-0.615453862243963,0.538255029924875,0.766999301188096
"Gpc1",6.92005876928645,0.519797543485411,0.403431190415416,1.28844163722238,0.197592272658327,0.466420638052658
"Gpc3",1.38410568708283,-0.00097636277890717,0.632183485658681,-0.00154442942762082,0.998767724094335,0.999535493245699
"Exosc10",86.9861953326724,-0.154101707785396,0.111689717959424,-1.37973047654557,0.167669645611925,0.427983564541385
"Nes",44.4864792533191,-0.0639676161135522,0.191726918786897,-0.333639201622239,0.738651833011242,0.88433792529987
"Preb",112.420341335493,-0.241259335449764,0.110599055472112,-2.18138694241017,0.0291548086063413,0.149902346818224
"Coil",12.0874118739128,0.267309709362762,0.275059543739796,0.971824884635287,0.331137673808568,0.60645600511615
"Npy5r",0,NA,NA,NA,NA,NA
"Auh",27.7194487590296,0.429214895388365,0.220372336551586,1.94768046708935,0.0514532087374436,0.217678289666166
"Hmgn5",16.8353903151526,-0.197665333696897,0.250866029141496,-0.787931847023446,0.430736571664731,0.69146605714567
"Tmod4",0.578332319790325,0.487327608719316,0.872434909546263,0.558583343452826,0.576446110266825,0.792048254985546
"Nup50",64.9170053846834,-0.0343666663381433,0.104533379409534,-0.328762607047304,0.74233512858919,0.886238497099149
"Cul3",209.180281389217,-0.299896083163988,0.121506551975643,-2.46814742322787,0.0135814372491785,0.0869609065712592
"Scly",17.5862945356195,-0.121951189221202,0.220981800418654,-0.55186078215565,0.581043739573925,0.794407913211061
"Ninj2",0.43753605884531,-1.59443551331867,1.53406642035617,-1.03935233322458,0.298640904107511,NA
"Grb14",11.5116715709957,0.529354079572846,0.372374776360679,1.42156266529749,0.155153249583713,0.411082787554881
"Neu3",4.86753375804842,0.48414923081218,0.341635033627365,1.41715334540386,0.156438098779387,0.413427584170972
"Iqgap1",281.75516023713,-0.804059749763872,0.208603760908545,-3.85448347748813,0.000115974214928265,0.00177069128151913
"Galns",20.3291738923197,0.173871237946204,0.181883655098123,0.955947569078722,0.339098724353467,0.613788464900722
"Uchl3",14.5121745592817,-0.628691556674381,0.298821514953514,-2.10390325064842,0.0353868873789869,0.171208110151405
"Nub1",140.778806424963,-0.171608934003219,0.0992076568230581,-1.72979525470793,0.0836668625745169,0.289668904958445
"Stip1",165.857609773732,0.138633205124816,0.174296695476645,0.795386308074855,0.426388822022674,0.687559333809226
"S100a11",36.601479826652,-1.60548969887429,0.275343778099867,-5.83085519474488,5.5144023430389e-09,2.03931037572647e-07
