Gene,M_P60_LPS 2,M_P60_LPS 7,M_P60_Sal 5,M_P60_LPS 1,M_P60_LPS 3,M_P60_LPS 4,M_P60_LPS 5,M_P60_LPS 6,M_P60_Sal 1,M_P60_Sal 2,M_P60_Sal 3,M_P60_Sal 4
Gbx2,0,0,0,0,0,0,0,0,0,0,0,0
Gdap2,65,94,123,50,72,53,51,112,175,158,79,77
Mrps33,8,5,13,5,4,4,5,3,28,17,15,13
Gdf11,1,2,12,5,1,1,8,3,23,4,28,10
Gdi1,169,271,479,197,156,157,132,261,465,596,362,390
Gdnf,0,0,0,0,0,0,0,0,0,0,0,0
Gem,369,596,471,296,435,541,498,618,709,1131,262,426
Gfap,1,0,4,0,17,1,0,2,6,22,5,2
Gfra1,0,0,0,0,0,0,1,1,0,0,0,0
Gfra3,0,0,0,0,0,0,0,0,0,0,0,0
Ggh,59,58,211,81,78,92,51,94,329,167,297,286
Ggps1,26,56,82,35,27,48,30,51,124,99,97,97
Ggta1,149,149,390,135,119,109,120,162,266,475,193,274
Ghr,2,11,43,14,12,15,18,7,53,30,61,46
Tsc22d3,346,652,637,427,202,200,247,691,749,1109,408,768
Gpr83,0,0,0,1,0,0,0,0,0,0,0,0
Gja1,33,46,32,34,64,76,57,33,41,19,22,21
Gja10,0,0,0,0,0,0,0,3,0,0,0,0
Gjd2,0,0,0,0,0,0,0,0,0,0,0,0
Gjb5,0,0,0,0,0,0,0,0,0,0,0,0
Gck,0,1,0,0,0,0,2,1,0,2,0,0
Gykl1,0,0,0,0,0,0,0,0,0,0,0,0
Gk2,0,0,0,0,0,0,0,0,0,0,0,0
Gclc,63,116,233,87,67,67,56,132,280,304,104,163
Gli1,0,1,0,3,0,2,3,0,2,2,0,3
Glra4,0,1,0,0,0,0,0,0,0,0,0,0
Glrb,0,2,10,1,6,1,3,4,38,5,22,10
Gm2a,93,157,463,127,86,113,101,188,331,495,446,414
Gna11,8,21,97,20,11,12,19,24,67,123,100,97
Gna12,42,100,201,33,27,31,60,113,158,533,159,187
Gna13,472,825,713,413,578,553,500,713,796,978,411,575
